"Date","Price","Open","High","Low","Change %"
"02/14/2024","4.130","4.060","4.130","4.060","0.77%"
"02/13/2024","4.098","4.099","4.099","4.098","-0.01%"
"02/12/2024","4.099","4.099","4.099","4.099","0.76%"
"02/09/2024","4.068","4.100","4.101","4.060","-0.78%"
"02/08/2024","4.100","4.120","4.120","4.100","-0.49%"
"02/07/2024","4.120","4.050","4.150","4.050","1.73%"
"02/06/2024","4.050","4.050","4.080","4.010","-0.25%"
"02/05/2024","4.060","4.160","4.160","4.040","-0.98%"
"02/02/2024","4.100","4.100","4.100","4.028","0.00%"
"02/01/2024","4.100","4.060","4.160","4.040","0.99%"
"01/31/2024","4.060","4.150","4.150","4.051","-2.40%"
"01/30/2024","4.160","4.121","4.170","4.070","0.68%"
"01/29/2024","4.132","4.080","4.132","4.080","1.27%"
"01/26/2024","4.080","4.030","4.080","4.030","1.24%"
"01/25/2024","4.030","4.010","4.150","4.010","0.50%"
"01/24/2024","4.010","4.150","4.159","4.010","-3.37%"
"01/23/2024","4.150","4.310","4.310","4.150","-4.16%"
"01/22/2024","4.330","4.360","4.360","4.320","-0.51%"
"01/19/2024","4.352","4.360","4.360","4.339","-0.66%"
"01/18/2024","4.381","4.350","4.420","4.350","0.71%"
"01/17/2024","4.350","4.390","4.391","4.328","-0.93%"
"01/16/2024","4.391","4.410","4.412","4.391","-0.88%"
"01/15/2024","4.430","4.430","4.430","4.430","0.00%"
"01/12/2024","4.430","4.430","4.430","4.430","-0.02%"
"01/11/2024","4.431","4.381","4.431","4.381","1.21%"
"01/10/2024","4.378","4.449","4.449","4.001","-1.60%"
"01/09/2024","4.449","4.531","4.531","4.449","-2.43%"
"01/08/2024","4.560","4.482","4.560","4.480","1.74%"
"01/05/2024","4.482","4.530","4.530","4.430","-1.10%"
"01/04/2024","4.532","4.490","4.550","4.482","0.94%"
"01/03/2024","4.490","4.432","4.490","4.430","1.35%"
"01/02/2024","4.430","4.428","4.441","4.428","-1.52%"
"01/01/2024","4.498","4.497","4.498","4.497","0.86%"
"12/29/2023","4.460","4.580","4.580","4.451","-2.62%"
"12/28/2023","4.580","4.580","4.580","4.530","-0.02%"
"12/27/2023","4.581","4.581","4.581","4.581","-1.03%"
"12/26/2023","4.628","4.628","4.628","4.628","0.01%"
"12/25/2023","4.628","4.628","4.628","4.628","1.05%"
"12/22/2023","4.580","4.590","4.590","4.510","0.22%"
"12/21/2023","4.570","4.570","4.610","4.549","0.00%"
"12/20/2023","4.570","4.610","4.610","4.561","-0.87%"
"12/19/2023","4.610","4.670","4.680","4.609","-1.50%"
"12/18/2023","4.680","4.631","4.680","4.631","0.09%"
"12/16/2023","4.676","4.676","4.676","4.676","0.99%"
"12/15/2023","4.630","4.730","4.740","4.521","2.93%"
"12/14/2023","4.498","4.550","4.640","4.498","-1.14%"
"12/13/2023","4.550","4.660","4.740","4.548","-3.60%"
"12/12/2023","4.720","4.720","4.740","4.630","-0.25%"
"12/11/2023","4.732","4.740","4.740","4.730","-0.17%"
"12/08/2023","4.740","4.751","4.751","4.720","-0.84%"
"12/07/2023","4.780","4.780","4.780","4.780","1.04%"
"12/06/2023","4.731","4.701","4.731","4.701","0.23%"
"12/05/2023","4.720","4.890","4.960","4.699","-3.87%"
"12/04/2023","4.910","4.960","4.960","4.899","-2.37%"
"12/01/2023","5.029","5.090","5.090","5.029","-1.20%"
"11/30/2023","5.090","5.210","5.210","5.082","-1.93%"
"11/29/2023","5.190","5.271","5.271","5.190","-1.54%"
"11/28/2023","5.271","5.210","5.271","5.209","0.78%"
"11/27/2023","5.230","5.230","5.230","5.229","1.36%"
